code,title,description
31521,Cut and Sew Apparel Contractors,
315210,Cut and Sew Apparel Contractors,This industry comprises establishments commonly referred to as contractors primarily engaged in (1) cutting materials owned by others for apparel and accessories and/or (2) sewing materials owned by others for apparel and accessories.
31525,Cut and Sew Apparel Manufacturing (except Contractors),
315250,Cut and Sew Apparel Manufacturing (except Contractors),"This industry comprises establishments primarily engaged in manufacturing cut and sew apparel from purchased fabric.  Clothing jobbers, who perform entrepreneurial functions involved in apparel manufacture, including buying raw materials, designing and preparing samples, arranging for apparel to be made from their materials, and marketing finished apparel, are included."
3159,Apparel Accessories and Other Apparel Manufacturing,
31599,Apparel Accessories and Other Apparel Manufacturing,
315990,Apparel Accessories and Other Apparel Manufacturing,"This industry comprises establishments primarily engaged in manufacturing apparel and accessories (except apparel knitting mills, cut and sew apparel contractors, and cut and sew apparel manufacturing (except contractors))."
316,Leather and Allied Product Manufacturing,"Establishments in the Leather and Allied Product Manufacturing subsector transform hides into leather by tanning or curing and fabricating the leather into products for final consumption.  This subsector also includes the manufacture of similar products from other materials, including products (except apparel) made from ""leather substitutes,"" such as rubber, plastics, or textiles."
3161,Leather and Hide Tanning and Finishing,
31611,Leather and Hide Tanning and Finishing,
316110,Leather and Hide Tanning and Finishing,"This industry comprises establishments primarily engaged in one or more of the following: (1) tanning, currying, and finishing hides and skins; (2) having others process hides and skins on a contract basis; and (3) dyeing or dressing furs."
3162,Footwear Manufacturing,
31621,Footwear Manufacturing,
316210,Footwear Manufacturing,This industry comprises establishments primarily engaged in manufacturing footwear (except orthopedic extension footwear).
3169,Other Leather and Allied Product Manufacturing,
31699,Other Leather and Allied Product Manufacturing,
316990,Other Leather and Allied Product Manufacturing,"This industry comprises establishments primarily engaged in manufacturing leather products (except footwear and apparel) from purchased leather or leather substitutes (e.g., fabric, plastics)."
321,Wood Product Manufacturing,"Establishments in the Wood Product Manufacturing subsector manufacture wood products, such as lumber, plywood, veneers, wood containers, wood flooring, wood trusses, manufactured homes (i.e., mobile homes), and prefabricated wood buildings."
3211,Sawmills and Wood Preservation,
32111,Sawmills and Wood Preservation,"This industry comprises establishments primarily engaged in one or more of the following: (1) sawing dimension lumber, boards, beams, timber, poles, ties, shingles, shakes, siding, and wood chips from logs or bolts; (2) sawing round wood poles, pilings, and posts and treating them with preservatives; and (3) treating wood sawed, planed, or shaped in other establishments with creosote or other preservatives to prevent decay and to protect against fire and insects."
321113,Sawmills,"This U.S. industry comprises establishments primarily engaged in sawing dimension lumber, boards, beams, timbers, poles, ties, shingles, shakes, siding, and wood chips from logs or bolts.  Sawmills may plane the rough lumber that they make with a planing machine to achieve smoothness and uniformity of size."
321114,Wood Preservation,"This U.S. industry comprises establishments primarily engaged in (1) treating wood sawed, planed, or shaped in other establishments with creosote or other preservatives, such as alkaline copper quat, copper azole, and sodium borates, to prevent decay and to protect against fire and insects and/or (2) sawing round wood poles, pilings, and posts and treating them with preservatives."
3212,"Veneer, Plywood, and Engineered Wood Product Manufacturing",
32121,"Veneer, Plywood, and Engineered Wood Product Manufacturing","This industry comprises establishments primarily engaged in one or more of the following: (1) manufacturing veneer and/or plywood; (2) manufacturing engineered wood members; and (3) manufacturing reconstituted wood products.  This industry includes manufacturing plywood from veneer made in the same establishment or from veneer made in other establishments, and manufacturing plywood faced with nonwood materials, such as plastics or metal."
321211,Hardwood Veneer and Plywood Manufacturing,This U.S. industry comprises establishments primarily engaged in manufacturing hardwood veneer and/or hardwood plywood.
321212,Softwood Veneer and Plywood Manufacturing,This U.S. industry comprises establishments primarily engaged in manufacturing softwood veneer and/or softwood plywood.
321215,Engineered Wood Member Manufacturing,"This U.S. industry comprises establishments primarily engaged in manufacturing fabricated or laminated wood arches, wood roof and floor trusses, and/or other fabricated or laminated wood structural members."
321219,Reconstituted Wood Product Manufacturing,This U.S. industry comprises establishments primarily engaged in manufacturing reconstituted wood sheets and boards.
3219,Other Wood Product Manufacturing,"This industry group comprises establishments primarily engaged in manufacturing wood products (except establishments operating sawmills and wood preservation facilities; and establishments manufacturing veneer, plywood, or engineered wood products)."
32191,Millwork,"This industry comprises establishments primarily engaged in manufacturing hardwood and softwood cut stock and dimension stock (i.e., shapes); wood windows and wood doors; and other millwork including wood flooring.  Dimension stock or cut stock is defined as lumber and worked wood products cut or shaped to specialized sizes.  These establishments generally use woodworking machinery, such as jointers, planers, lathes, and routers to shape wood."
321911,Wood Window and Door Manufacturing,"This U.S. industry comprises establishments primarily engaged in manufacturing window and door units, sash, window and door frames, and doors from wood or wood clad with metal or plastics."
321912,"Cut Stock, Resawing Lumber, and Planing","This U.S. industry comprises establishments primarily engaged in one or more of the following: (1) manufacturing dimension lumber from purchased lumber; (2) manufacturing dimension stock (i.e., shapes) or cut stock; (3) resawing the output of sawmills; and (4) planing purchased lumber.  These establishments generally use woodworking machinery, such as jointers, planers, lathes, and routers to shape wood."
321918,Other Millwork (including Flooring),"This U.S. industry comprises establishments primarily engaged in manufacturing millwork (except wood windows, wood doors, and cut stock)."
32192,Wood Container and Pallet Manufacturing,
321920,Wood Container and Pallet Manufacturing,"This industry comprises establishments primarily engaged in manufacturing wood pallets, wood box shook, wood boxes, other wood containers, and wood parts for pallets and containers."
32199,All Other Wood Product Manufacturing,"This industry comprises establishments primarily engaged in manufacturing wood products (except establishments operating sawmills and wood preservation facilities; and establishments manufacturing veneer, plywood, engineered wood products, millwork, wood containers, or pallets)."
321991,Manufactured Home (Mobile Home) Manufacturing,"This U.S. industry comprises establishments primarily engaged in making manufactured homes (i.e., mobile homes) and nonresidential mobile buildings.  Manufactured homes are designed to accept permanent water, sewer, and utility connections and although equipped with wheels, they are not intended for regular highway movement."
321992,Prefabricated Wood Building Manufacturing,This U.S. industry comprises establishments primarily engaged in manufacturing prefabricated wood buildings and wood sections and panels for prefabricated wood buildings.
321999,All Other Miscellaneous Wood Product Manufacturing,"This U.S. industry comprises establishments primarily engaged in manufacturing wood products (except establishments operating sawmills and preservation facilities; establishments manufacturing veneer, engineered wood products, millwork, wood containers, pallets, and wood container parts; and establishments making manufactured homes (i.e., mobile homes) and prefabricated buildings and components)."
322,Paper Manufacturing,"Industries in the Paper Manufacturing subsector make pulp, paper, or converted paper products.  The manufacturing of these products is grouped together because they constitute a series of vertically connected processes.  More than one is often carried out in a single establishment.  There are essentially three activities.  The manufacturing of pulp involves separating the cellulose fibers from other impurities in wood or used paper."
3221,"Pulp, Paper, and Paperboard Mills","This industry group comprises establishments primarily engaged in manufacturing pulp, paper, or paperboard."
32211,Pulp Mills,
322110,Pulp Mills,"This industry comprises establishments primarily engaged in manufacturing pulp without manufacturing paper or paperboard.  The pulp is made by separating the cellulose fibers from the other impurities in wood or other materials, such as used or recycled rags, linters, scrap paper, and straw."
32212,Paper Mills,
322120,Paper Mills,"This industry comprises establishments primarily engaged in manufacturing paper from pulp. These establishments may manufacture or purchase pulp.  In addition, the establishments may convert the paper they make.  The activity of making paper classifies an establishment into this industry regardless of the output."
32213,Paperboard Mills,
322130,Paperboard Mills,"This industry comprises establishments primarily engaged in manufacturing paperboard (e.g., can/drum stock, container board, corrugating medium, folding carton stock, linerboard, tube) from pulp.  These establishments may manufacture or purchase pulp.  In addition, the establishments may also convert the paperboard they make."
3222,Converted Paper Product Manufacturing,This industry group comprises establishments primarily engaged in converting paper or paperboard without manufacturing paper or paperboard.
32221,Paperboard Container Manufacturing,"This industry comprises establishments primarily engaged in converting paperboard into containers without manufacturing paperboard.  These establishments use corrugating, cutting, and shaping machinery to form paperboard into containers.  Products made by these establishments include boxes, corrugated sheets, pads, pallets, paper dishes, and fiber drums and reels."
322211,Corrugated and Solid Fiber Box Manufacturing,"This U.S. industry comprises establishments primarily engaged in laminating purchased paper or paperboard into corrugated or solid fiber boxes and related products, such as pads, partitions, pallets, and corrugated paper without manufacturing paperboard.  These boxes are generally used for shipping."
322212,Folding Paperboard Box Manufacturing,This U.S. industry comprises establishments primarily engaged in converting paperboard (except corrugated) into folding paperboard boxes without manufacturing paper and paperboard.
322219,Other Paperboard Container Manufacturing,"This U.S. industry comprises establishments primarily engaged in converting paperboard into paperboard containers (except corrugated, solid fiber, and folding paperboard boxes) without manufacturing paperboard."
32222,Paper Bag and Coated and Treated Paper Manufacturing,
322220,Paper Bag and Coated and Treated Paper Manufacturing,"This industry comprises establishments primarily engaged in one or more of the following: (1) cutting and coating paper and paperboard; (2) cutting and laminating paper, paperboard, and other flexible materials (except plastics film to plastics film); (3) manufacturing bags, multiwall bags, sacks of paper, metal foil, coated paper, laminates, or coated combinations of paper and foil with plastics film; (4) manufacturing laminated aluminum and other converted metal foils from purchased foils; and..."
32223,Stationery Product Manufacturing,
322230,Stationery Product Manufacturing,"This industry comprises establishments primarily engaged in converting paper or paperboard into products used for writing, filing, art work, and similar applications."
32229,Other Converted Paper Product Manufacturing,"This industry comprises establishments primarily engaged in (1) converting paper and paperboard into products (except containers, bags, coated and treated paper and paperboard, and stationery products) or (2) converting pulp into pulp products, such as disposable diapers, or molded pulp egg cartons, food trays, and dishes.  Processes used include laminating or lining purchased paper or paperboard."
322291,Sanitary Paper Product Manufacturing,"This U.S. industry comprises establishments primarily engaged in converting purchased sanitary paper stock or wadding into sanitary paper products, such as facial tissues, handkerchiefs, table napkins, toilet paper, towels, disposable diapers, sanitary napkins, and tampons."
322299,All Other Converted Paper Product Manufacturing,"This U.S. industry comprises establishments primarily engaged in converting paper or paperboard into products (except containers, bags, coated and treated paper, stationery products, and sanitary paper products) or converting pulp into pulp products, such as egg cartons, food trays, and other food containers from molded pulp."
323,Printing and Related Support Activities,"Industries in the Printing and Related Support Activities subsector print products, such as newspapers, books, labels, business cards, stationery, business forms, and other materials, and perform support activities, such as data imaging, platemaking services, and bookbinding."
3231,Printing and Related Support Activities,
32311,Printing,"This industry comprises establishments primarily engaged in printing on apparel and textile products, paper, metal, glass, plastics, and other materials, except fabric (grey goods).  The printing processes employed include, but are not limited to, lithographic, gravure, screen, flexographic, digital, and letterpress."
323111,Commercial Printing (except Screen and Books),"This U.S. industry comprises establishments primarily engaged in commercial printing (except screen printing, books printing) without publishing (except fabric grey goods printing).  The printing processes used in this industry include, but are not limited to, lithographic, gravure, flexographic, letterpress, engraving, and various digital printing technologies."
323113,Commercial Screen Printing,"This U.S. industry comprises establishments primarily engaged in screen printing without publishing (except books, fabric grey goods, and manifold business forms).  This industry includes establishments engaged in screen printing on purchased stock materials, such as stationery, invitations, labels, and similar items, on a job-order basis."
323117,Books Printing,This U.S. industry comprises establishments primarily engaged in printing or printing and binding books and pamphlets without publishing.
32312,Support Activities for Printing,
323120,Support Activities for Printing,"This industry comprises establishments primarily engaged in performing prepress and postpress services in support of printing activities.  Prepress services may include such things as platemaking, typesetting, trade binding, and sample mounting.  Postpress services include such things as book or paper bronzing, die cutting, edging, embossing, folding, gilding, gluing, and indexing."
324,Petroleum and Coal Products Manufacturing,The Petroleum and Coal Products Manufacturing subsector is based on the transformation of crude petroleum and coal into usable products.  The dominant process is petroleum refining that involves the separation of crude petroleum into component products through such techniques as cracking and distillation.
3241,Petroleum and Coal Products Manufacturing,
32411,Petroleum Refineries,
324110,Petroleum Refineries,This industry comprises establishments primarily engaged in refining crude petroleum into refined petroleum.  Petroleum refining involves one or more of the following activities: (1) fractionation; (2) straight distillation of crude oil; and (3) cracking.
32412,"Asphalt Paving, Roofing, and Saturated Materials Manufacturing",This industry comprises establishments primarily engaged in (1) manufacturing asphalt and tar paving mixtures and blocks and roofing cements and coatings from purchased asphaltic materials and/or (2) saturating purchased mats and felts with asphalt or tar from purchased asphaltic materials.
324121,Asphalt Paving Mixture and Block Manufacturing,This U.S. industry comprises establishments primarily engaged in manufacturing asphalt and tar paving mixtures and blocks from purchased asphaltic materials.
324122,Asphalt Shingle and Coating Materials Manufacturing,This U.S. industry comprises establishments primarily engaged in (1) saturating purchased mats and felts with asphalt or tar from purchased asphaltic materials and (2) manufacturing asphalt and tar and roofing cements and coatings from purchased asphaltic materials.
32419,Other Petroleum and Coal Products Manufacturing,"This industry comprises establishments primarily engaged in manufacturing petroleum products (except asphalt paving, roofing, and saturated materials) from refined petroleum or coal products made in coke ovens not integrated with a steel mill."
324191,Petroleum Lubricating Oil and Grease Manufacturing,This U.S. industry comprises establishments primarily engaged in blending or compounding refined petroleum to make lubricating oils and greases and/or re-refining used petroleum lubricating oils.
324199,All Other Petroleum and Coal Products Manufacturing,"This U.S. industry comprises establishments primarily engaged in manufacturing petroleum products (except asphalt paving, roofing, and saturated materials and lubricating oils and greases) from refined petroleum and coal products made in coke ovens not integrated with a steel mill."
325,Chemical Manufacturing,The Chemical Manufacturing subsector is based on the transformation of organic and inorganic raw materials by a chemical process and the formulation of products.  This subsector distinguishes the production of basic chemicals that comprise the first industry group from the production of intermediate and end products produced by further processing of basic chemicals that make up the remaining industry groups.
3251,Basic Chemical Manufacturing,"This industry group comprises establishments primarily engaged in manufacturing chemicals using basic processes, such as thermal cracking and distillation.  Chemicals manufactured in this industry group are usually separate chemical elements or separate chemically-defined compounds."
32511,Petrochemical Manufacturing,
325110,Petrochemical Manufacturing,"This industry comprises establishments primarily engaged in (1) manufacturing acyclic (i.e., aliphatic) hydrocarbons such as ethylene, propylene, and butylene made from refined petroleum or liquid hydrocarbons and/or (2) manufacturing cyclic aromatic hydrocarbons such as benzene, toluene, styrene, xylene, ethyl benzene, and cumene made from refined petroleum or liquid hydrocarbons."
32512,Industrial Gas Manufacturing,
325120,Industrial Gas Manufacturing,"This industry comprises establishments primarily engaged in manufacturing industrial organic and inorganic gases in compressed, liquid, and solid forms."
32513,Synthetic Dye and Pigment Manufacturing,
325130,Synthetic Dye and Pigment Manufacturing,"This industry comprises establishments primarily engaged in manufacturing synthetic organic and inorganic dyes and pigments, such as lakes and toners (except electrostatic and photographic)."
32518,Other Basic Inorganic Chemical Manufacturing,
325180,Other Basic Inorganic Chemical Manufacturing,This industry comprises establishments primarily engaged in manufacturing basic inorganic chemicals (except industrial gases and synthetic dyes and pigments).
32519,Other Basic Organic Chemical Manufacturing,"This industry comprises establishments primarily engaged in manufacturing basic organic chemicals (except petrochemicals, industrial gases, and synthetic dyes and pigments)."
325193,Ethyl Alcohol Manufacturing,This U.S. industry comprises establishments primarily engaged in manufacturing nonpotable ethyl alcohol.
325194,"Cyclic Crude, Intermediate, and Gum and Wood Chemical Manufacturing","This U.S. industry comprises establishments primarily engaged in one or more of the following: (1) distilling wood or gum into products, such as tall oil and wood distillates; (2) distilling coal tars; (3) manufacturing wood or gum chemicals, such as naval stores, natural tanning materials, charcoal briquettes, and charcoal (except activated); and (4) manufacturing cyclic crudes or cyclic intermediates (i.e., hydrocarbons, except aromatic petrochemicals) from refined petroleum or natural gas."
325199,All Other Basic Organic Chemical Manufacturing,"This U.S. industry comprises establishments primarily engaged in manufacturing basic organic chemical products (except aromatic petrochemicals, industrial gases, synthetic organic dyes and pigments, gum and wood chemicals, cyclic crudes and intermediates, and ethyl alcohol)."
3252,"Resin, Synthetic Rubber, and Artificial and Synthetic Fibers and Filaments Manufacturing","This industry group comprises establishments primarily engaged in one of the following: (1) manufacturing synthetic resins, plastics materials, and nonvulcanizable elastomers and mixing and blending resins on a custom basis; (2) manufacturing noncustomized synthetic resins; (3) manufacturing synthetic rubber; (4) manufacturing cellulosic (e.g., rayon, acetate) and noncellulosic (e.g."
32521,Resin and Synthetic Rubber Manufacturing,"This industry comprises establishments primarily engaged in one or more of the following: (1) manufacturing synthetic resins, plastics materials, and nonvulcanizable elastomers and mixing and blending resins on a custom basis; (2) manufacturing noncustomized synthetic resins; and (3) manufacturing synthetic rubber."
325211,Plastics Material and Resin Manufacturing,"This U.S. industry comprises establishments primarily engaged in (1) manufacturing resins, plastics materials, and nonvulcanizable thermoplastic elastomers and mixing and blending resins on a custom basis and/or (2) manufacturing noncustomized synthetic resins."
325212,Synthetic Rubber Manufacturing,This U.S. industry comprises establishments primarily engaged in manufacturing synthetic rubber.
32522,Artificial and Synthetic Fibers and Filaments Manufacturing,
325220,Artificial and Synthetic Fibers and Filaments Manufacturing,"This industry comprises establishments primarily engaged in (1) manufacturing cellulosic (e.g., rayon, acetate) and noncellulosic (e.g., nylon, polyolefin, polyester) fibers and filaments in the form of monofilament, filament yarn, staple, or tow or (2) manufacturing and texturizing cellulosic and noncellulosic fibers and filaments."
3253,"Pesticide, Fertilizer, and Other Agricultural Chemical Manufacturing",This industry group comprises establishments primarily engaged in one or more of the following: (1) manufacturing nitrogenous or phosphatic fertilizer materials; (2) manufacturing fertilizers from sewage or animal waste; (3) manufacturing nitrogenous or phosphatic materials and mixing with other ingredients into fertilizers; (4) mixing ingredients made elsewhere into fertilizers; (5) manufacturing compost; and (6) formulating and preparing pesticides and other agricultural chemicals.
32531,Fertilizer and Compost Manufacturing,This industry comprises establishments primarily engaged in one or more of the following: (1) manufacturing nitrogenous or phosphatic fertilizer materials; (2) manufacturing fertilizers from sewage or animal waste; (3) manufacturing nitrogenous or phosphatic materials and mixing with other ingredients into fertilizers; (4) mixing ingredients made elsewhere into fertilizers; and (5) manufacturing compost.
325311,Nitrogenous Fertilizer Manufacturing,This U.S. industry comprises establishments primarily engaged in one or more of the following: (1) manufacturing nitrogenous fertilizer materials; (2) manufacturing fertilizers from sewage or animal waste; and (3) manufacturing nitrogenous materials and mixing with other ingredients into fertilizers.
325312,Phosphatic Fertilizer Manufacturing,This U.S. industry comprises establishments primarily engaged in (1) manufacturing phosphatic fertilizer materials or (2) manufacturing phosphatic materials and mixing with other ingredients into fertilizers.
325314,Fertilizer (Mixing Only) Manufacturing,This U.S. industry comprises establishments primarily engaged in mixing ingredients made elsewhere into fertilizers.
325315,Compost Manufacturing,"This U.S. industry comprises establishments primarily engaged in manufacturing compost through the controlled aerobic, biological decomposition and curing of biodegradable materials."
32532,Pesticide and Other Agricultural Chemical Manufacturing,
325320,Pesticide and Other Agricultural Chemical Manufacturing,This industry comprises establishments primarily engaged in the formulation and preparation of agricultural and household pest control chemicals (except fertilizers).
3254,Pharmaceutical and Medicine Manufacturing,
32541,Pharmaceutical and Medicine Manufacturing,"This industry comprises establishments primarily engaged in one or more of the following: (1) manufacturing biological and medicinal products; (2) processing (i.e., grading, grinding, and milling) botanical drugs and herbs; (3) isolating active medicinal principals from botanical drugs and herbs; and (4) manufacturing pharmaceutical products intended for internal and external consumption in such forms as ampoules, tablets, capsules, vials, ointments, powders, solutions, and suspensions."
325411,Medicinal and Botanical Manufacturing,"This U.S. industry comprises establishments primarily engaged in (1) manufacturing uncompounded medicinal chemicals and their derivatives (i.e., generally for use by pharmaceutical preparation manufacturers) and/or (2) grading, grinding, and milling uncompounded botanicals."
325412,Pharmaceutical Preparation Manufacturing,"This U.S. industry comprises establishments primarily engaged in manufacturing in-vivo diagnostic substances and pharmaceutical preparations (except biological) intended for internal and external consumption in dose forms, such as ampoules, tablets, capsules, vials, ointments, powders, solutions, and suspensions."
325413,In-Vitro Diagnostic Substance Manufacturing,"This U.S. industry comprises establishments primarily engaged in manufacturing in-vitro (i.e., not taken internally) diagnostic substances, such as chemical, biological, or radioactive substances. The substances are used for diagnostic tests that are performed in test tubes, petri dishes, machines, and other diagnostic test-type devices."
325414,Biological Product (except Diagnostic) Manufacturing,"This U.S. industry comprises establishments primarily engaged in manufacturing vaccines, toxoids, blood fractions, and culture media of plant or animal origin (except diagnostic)."
3255,"Paint, Coating, and Adhesive Manufacturing","This industry group comprises establishments primarily engaged in one or more of the following: (1) mixing pigments, solvents, and binders into paints and other coatings; (2) manufacturing allied paint products; and (3) manufacturing adhesives, glues, and caulking compounds."
32551,Paint and Coating Manufacturing,
325510,Paint and Coating Manufacturing,"This industry comprises establishments primarily engaged in (1) mixing pigments, solvents, and binders into paints and other coatings, such as stains, varnishes, lacquers, enamels, shellacs, and water-repellent coatings for concrete and masonry, and/or (2) manufacturing allied paint products, such as putties, paint and varnish removers, paint brush cleaners, and frit."
32552,Adhesive Manufacturing,
325520,Adhesive Manufacturing,"This industry comprises establishments primarily engaged in manufacturing adhesives, glues, and caulking compounds."
3256,"Soap, Cleaning Compound, and Toilet Preparation Manufacturing","This industry group comprises establishments primarily engaged in (1) manufacturing and packaging soaps, detergents, polishes, surface active agents, textile and leather finishing agents, and other sanitation goods or (2) preparing, blending, compounding, and packaging toilet preparations."
32561,Soap and Cleaning Compound Manufacturing,"This industry comprises establishments primarily engaged in manufacturing and packaging soaps and other cleaning compounds, surface active agents, and textile and leather finishing agents used to reduce tension or speed the drying process."
325611,Soap and Other Detergent Manufacturing,"This U.S. industry comprises establishments primarily engaged in manufacturing and packaging bath, facial, and hand soaps, hand sanitizers, and other detergents, such as laundry and dishwashing detergents; toothpaste gels and tooth powders; and natural glycerin."
325612,Polish and Other Sanitation Good Manufacturing,This U.S. industry comprises establishments primarily engaged in manufacturing and packaging polishes and specialty cleaning preparations.
325613,Surface Active Agent Manufacturing,"This U.S. industry comprises establishments primarily engaged in (1) manufacturing bulk surface active agents for use as wetting agents, emulsifiers, and penetrants and/or (2) manufacturing textile and leather finishing agents used to reduce tension or speed the drying process."
32562,Toilet Preparation Manufacturing,
325620,Toilet Preparation Manufacturing,"This industry comprises establishments primarily engaged in preparing, blending, compounding, and packaging toilet preparations, such as perfumes, shaving preparations, hair preparations, face creams, lotions (including sunscreens), and other cosmetic preparations."
3259,Other Chemical Product and Preparation Manufacturing,"This industry group comprises establishments primarily engaged in manufacturing chemical products (except basic chemicals; resins, synthetic rubber, cellulosic and noncellulosic fibers and filaments; pesticides, fertilizers, and other agricultural chemicals; pharmaceuticals and medicines; paints, coatings, and adhesives; soaps and cleaning compounds; and toilet preparations)."
32591,Printing Ink Manufacturing,
325910,Printing Ink Manufacturing,This industry comprises establishments primarily engaged in manufacturing printing and inkjet inks and inkjet cartridges.
32592,Explosives Manufacturing,
325920,Explosives Manufacturing,This industry comprises establishments primarily engaged in manufacturing explosives.
32599,All Other Chemical Product and Preparation Manufacturing,"This industry comprises establishments primarily engaged in manufacturing chemical products (except basic chemicals, resins, and synthetic rubber; cellulosic and noncellulosic fibers and filaments; pesticides, fertilizers, and other agricultural chemicals; pharmaceuticals and medicines; paints, coatings, and adhesives; soaps, cleaning compounds, and toilet preparations; printing inks; and explosives)."
325991,Custom Compounding of Purchased Resins,This U.S. industry comprises establishments primarily engaged in (1) custom mixing and blending plastics resins made elsewhere or (2) reformulating plastics resins from recycled plastics products.
325992,"Photographic Film, Paper, Plate, Chemical, and Copy Toner Manufacturing","This U.S. industry comprises establishments primarily engaged in manufacturing sensitized film, sensitized paper, sensitized cloth, sensitized plates, toners (i.e., for photocopiers, laser printers, and similar electrostatic printing devices), toner cartridges, and photographic chemicals."
325998,All Other Miscellaneous Chemical Product and Preparation Manufacturing,"This U.S. industry comprises establishments primarily engaged in manufacturing chemical products (except basic chemicals, resins, and synthetic rubber; cellulosic and noncellulosic fibers and filaments; pesticides, fertilizers, and other agricultural chemicals; pharmaceuticals and medicines; paints, coatings and adhesives; soaps, cleaning compounds, and toilet preparations; printing inks; explosives; custom compounding of purchased resins; and photographic films, papers, plates, chemicals, and c..."
326,Plastics and Rubber Products Manufacturing,Industries in the Plastics and Rubber Products Manufacturing subsector make goods by processing plastics materials and raw rubber.  The core technology employed by establishments in this subsector is that of plastics or rubber product production.
3261,Plastics Product Manufacturing,"This industry group comprises establishments primarily engaged in processing new or spent (i.e., recycled) plastics resins into intermediate or final products, using such processes as compression molding; extrusion molding; injection molding; blow molding; and casting.  Within most of these industries, the production process is such that a wide variety of products can be made."
32611,Plastics Packaging Materials and Unlaminated Film and Sheet Manufacturing,"This industry comprises establishments primarily engaged in (1) converting plastics resins into unsupported plastics film and sheet and/or (2) forming, coating, or laminating plastics film and sheet into plastics bags."
326111,Plastics Bag and Pouch Manufacturing,"This U.S. industry comprises establishments primarily engaged in (1) converting plastics resins into plastics bags or pouches and/or (2) forming, coating, or laminating plastics film or sheet into single-web or multiweb plastics bags or pouches.  Establishments in this industry may print on the bags or pouches they manufacture."
326112,Plastics Packaging Film and Sheet (including Laminated) Manufacturing,This U.S. industry comprises establishments primarily engaged in converting plastics resins into plastics packaging (flexible) film and packaging sheet.
326113,Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing,This U.S. industry comprises establishments primarily engaged in converting plastics resins into plastics film and unlaminated sheet (except packaging).
32612,"Plastics Pipe, Pipe Fitting, and Unlaminated Profile Shape Manufacturing","This industry comprises establishments primarily engaged in manufacturing plastics pipes and pipe fittings, and plastics profile shapes such as rod, tube, and sausage casings."
326121,Unlaminated Plastics Profile Shape Manufacturing,"This U.S. industry comprises establishments primarily engaged in converting plastics resins into nonrigid plastics profile shapes (except film, sheet, bags, and hoses), such as rod, tube, and sausage casings."
326122,Plastics Pipe and Pipe Fitting Manufacturing,This U.S. industry comprises establishments primarily engaged in converting plastics resins into plastics pipes and pipe fittings.
32613,"Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing",
326130,"Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing","This industry comprises establishments primarily engaged in laminating plastics profile shapes such as plate, sheet (except packaging), and rod. The lamination process generally involves bonding or impregnating profiles with plastics resins and compressing them under heat."
32614,Polystyrene Foam Product Manufacturing,
326140,Polystyrene Foam Product Manufacturing,This industry comprises establishments primarily engaged in manufacturing polystyrene foam products.
32615,Urethane and Other Foam Product (except Polystyrene) Manufacturing,
326150,Urethane and Other Foam Product (except Polystyrene) Manufacturing,This industry comprises establishments primarily engaged in manufacturing plastics foam products (except polystyrene).
32616,Plastics Bottle Manufacturing,
326160,Plastics Bottle Manufacturing,This industry comprises establishments primarily engaged in manufacturing plastics bottles.
32619,Other Plastics Product Manufacturing,"This industry comprises establishments primarily engaged in manufacturing plastics plumbing fixtures and other plastics products (except film, sheet, bags, profile shapes, pipes, pipe fittings, laminates, foam products, bottles, and hoses)."
326191,Plastics Plumbing Fixture Manufacturing,"This U.S. industry comprises establishments primarily engaged in manufacturing plastics or fiberglass plumbing fixtures.  Examples of products made by these establishments are plastics or fiberglass bathtubs, hot tubs, portable toilets, and shower stalls."
326199,All Other Plastics Product Manufacturing,"This U.S. industry comprises establishments primarily engaged in manufacturing plastics products (except film, sheet, bags, profile shapes, pipes, pipe fittings, laminates, foam products, bottles, plumbing fixtures, and hoses)."
3262,Rubber Product Manufacturing,"This industry group comprises establishments primarily engaged in processing natural, synthetic, or reclaimed rubber materials into intermediate or final products using processes, such as vulcanizing, cementing, molding, extruding, and lathe-cutting."
32621,Tire Manufacturing,This industry comprises establishments primarily engaged in manufacturing tires and inner tubes from natural and synthetic rubber and retreading or rebuilding tires.
326211,Tire Manufacturing (except Retreading),This U.S. industry comprises establishments primarily engaged in manufacturing tires and inner tubes from natural and synthetic rubber.
326212,Tire Retreading,This U.S. industry comprises establishments primarily engaged in retreading or rebuilding tires.
32622,Rubber and Plastics Hoses and Belting Manufacturing,
326220,Rubber and Plastics Hoses and Belting Manufacturing,This industry comprises establishments primarily engaged in manufacturing rubber hose and/or plastics (reinforced) hose and belting from natural and synthetic rubber and/or plastics resins.  Establishments manufacturing garden hoses from purchased hose are included in this industry.
32629,Other Rubber Product Manufacturing,"This industry comprises establishments primarily engaged in manufacturing rubber products (except tires, hoses, and belting) from natural and synthetic rubber."
326291,Rubber Product Manufacturing for Mechanical Use,"This U.S. industry comprises establishments primarily engaged in manufacturing rubber goods (except tubing) for mechanical applications, using the processes of molding, extruding or lathe-cutting.  Products of this industry are generally parts for motor vehicles, machinery, and equipment."
